[251857.268900] usb 1-1: USB disconnect, device number 8
[251987.656702] iterate_tasks: module license 'unspecified' taints kernel.
[251987.656703] Disabling lock debugging due to kernel taint
[251987.656991] Loading Kernel Module
[251987.657063] task command: loop16, state: 1, process id: 415
[251987.657064] task command: irq/67-smo8800, state: 1, process id: 443
[251987.657064] task command: cfg80211, state: 1026, process id: 467
[251987.657065] task command: ath10k_wq, state: 1026, process id: 486
[251987.657066] task command: kmemstick, state: 1026, process id: 488
[251987.657067] task command: ath10k_aux_wq, state: 1026, process id: 490
[251987.657067] task command: irq/51-SYNA2393, state: 1, process id: 513
[251987.657068] task command: i915/signal:0, state: 1, process id: 590
[251987.657069] task command: i915/signal:1, state: 1, process id: 591
[251987.657069] task command: i915/signal:2, state: 1, process id: 592
[251987.657070] task command: i915/signal:6, state: 1, process id: 593
[251987.657071] task command: kworker/u17:2, state: 1026, process id: 678
[251987.657071] task command: jbd2/sda9-8, state: 1, process id: 877
[251987.657072] task command: ext4-rsv-conver, state: 1026, process id: 878
[251987.657073] task command: systemd-timesyn, state: 1, process id: 913
[251987.657073] task command: systemd-resolve, state: 1, process id: 914
[251987.657074] task command: rsyslogd, state: 1, process id: 1174
[251987.657075] task command: thermald, state: 1, process id: 1178
[251987.657076] task command: dbus-daemon, state: 1, process id: 1180
[251987.657076] task command: wpa_supplicant, state: 1, process id: 1216
[251987.657077] task command: networkd-dispat, state: 1, process id: 1218
[251987.657078] task command: NetworkManager, state: 1, process id: 1220
[251987.657078] task command: cron, state: 1, process id: 1221
[251987.657079] task command: accounts-daemon, state: 1, process id: 1226
[251987.657079] task command: avahi-daemon, state: 1, process id: 1227
[251987.657080] task command: irqbalance, state: 1, process id: 1235
[251987.657081] task command: ModemManager, state: 1, process id: 1236
[251987.657081] task command: bluetoothd, state: 1, process id: 1237
[251987.657082] task command: acpid, state: 1, process id: 1238
[251987.657082] task command: systemd-logind, state: 1, process id: 1240
[251987.657083] task command: avahi-daemon, state: 1, process id: 1242
[251987.657084] task command: udisksd, state: 1, process id: 1244
[251987.657085] task command: snapd, state: 1, process id: 1245
[251987.657085] task command: polkitd, state: 1, process id: 1290
[251987.657086] task command: iprt-VBoxWQueue, state: 1026, process id: 1325
[251987.657087] task command: iprt-VBoxTscThr, state: 1, process id: 1329
[251987.657087] task command: unattended-upgr, state: 1, process id: 1335
[251987.657088] task command: gdm3, state: 1, process id: 1342
[251987.657088] task command: gdm-session-wor, state: 1, process id: 1352
[251987.657089] task command: systemd, state: 1, process id: 1387
[251987.657090] task command: (sd-pam), state: 1, process id: 1388
[251987.657090] task command: gdm-wayland-ses, state: 1, process id: 1402
[251987.657091] task command: dbus-daemon, state: 1, process id: 1408
[251987.657092] task command: gnome-session-b, state: 1, process id: 1410
[251987.657092] task command: gnome-shell, state: 1, process id: 1416
[251987.657093] task command: whoopsie, state: 1, process id: 1476
[251987.657094] task command: kerneloops, state: 1, process id: 1477
[251987.657094] task command: kerneloops, state: 1, process id: 1479
[251987.657095] task command: upowerd, state: 1, process id: 1526
[251987.657096] task command: Xwayland, state: 1, process id: 1582
[251987.657096] task command: at-spi-bus-laun, state: 1, process id: 1594
[251987.657097] task command: dbus-daemon, state: 1, process id: 1599
[251987.657098] task command: at-spi2-registr, state: 1, process id: 1601
[251987.657098] task command: pulseaudio, state: 1, process id: 1605
[251987.657099] task command: rtkit-daemon, state: 1, process id: 1606
[251987.657100] task command: ibus-daemon, state: 1, process id: 1624
[251987.657101] task command: xdg-permission-, state: 1, process id: 1626
